First Name,Email ID,Quantity,Events,Attendee Status,College Name,Event_Source,Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family_Income(Lack),Expected salary (Lack),Leadership- skills
mayuresh,mayuresh@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",college,students,2025,faridabad,6.9,4,0-2,17,no
rohit,rohit@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,whatsapp,students,2024,gurugram,7.2,5,0-2,13,no
nutan,nutan@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",email,students,2023,hisar,7.5,4,0-2,11,no
yogesh,yogesh@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2025,jind,6.5,3,0-2,15,yes
pranali,pranali@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,whatsapp,students,2023,kaithal,7.5,4,0-2,19,yes
gaurang,gaurang@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",linkedin,students,2024,karnal,6.9,3,0-2,18,no
ritesh,ritesh@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,students,2026,rewari,6.5,4,2-5,23,yes
harsh,harsh@xyz.com,1,art of resume building,attending,"priyadarshini college of engineering, nagpur ",friends,students,2023,rohtak,7.3,3,5-7,8,yes
sanika ,sanika@xyz.com,1,art of resume building,attending,st.francis institute of technology,college,students,2023,sirsa,6.7,5,7-8,9,no
shruti,shruti@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,whatsapp,students,2024,sonipat,8.7,7,0-2,7,no
sonali ,sonali@xyz.com,1,art of resume building,attending,late g. n. sapkal college of engineering,whatsapp,students,2025,chamba,6.7,3,0-2,13,no
sushant ,sushant@xyz.com,1,art of resume building,attending,"symbiosis institute of technology, pune",whatsapp,students,2025,kangra,9.0,4,0-2,19,yes
omkar,omkar@xyz.com,1,art of resume building,attending,"mit academy of engineering ,alandi",linkedin,students,2024,hamirpur,7.2,4,0-2,25,no
krutika ,krutika@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,whatsapp,students,2023,kullu,8.5,5,2-5,22,no
sachin,sachin@xyz.com,1,art of resume building,attending,wilson college ,whatsapp,students,2026,mandi,6.5,4,5-7,6,no
omkar,omkar@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,email,students,2024,una,9.5,5,0-2,20,no
varun,varun@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,whatsapp,students,2023,anantnag,8.1,7,0-2,15,yes
anand,anand@xyz.com,1,art of resume building,attending,ap shah institute of technology ,youtube|facebook|instagram|linkedin|whatsapp|email,students,2023,doda,9.3,4,0-2,19,no
karuna,karuna@xyz.com,1,art of resume building,attending,don bosco college of engineering fatorda goa,whatsapp,students,2024,gulmarg,9.1,3,0-2,13,no
vishal,vishal@xyz.com,1,art of resume building,attending,st xavier's college ,whatsapp,students,2023,punch,7.8,5,0-2,12,yes
shweta,shweta@xyz.com,1,art of resume building,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",college,students,2024,srinagar,8.5,7,0-2,10,no
madhuri,madhuri@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,email,students,2025,udhampur,8.7,3,0-2,10,no
vaishnavi,vaishnavi@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",college,students,2025,ballari,9.4,7,5-7,25,no
rutuja,rutuja@xyz.com,1,art of resume building,attending,st.francis institute of technology,college,students,2026,hasan,7.7,5,0-2,9,no
somnath ,somnath@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,whatsapp,students,2023,kolar,7.5,3,0-2,8,yes
rahul ,rahul@xyz.com,1,art of resume building,attending,late g. n. sapkal college of engineering,facebook,students,2025,mysuru,7.2,5,2-5,7,yes
shivani,shivani@xyz.com,1,art of resume building,attending,"symbiosis institute of technology, pune",whatsapp,students,2023,kochi,7.6,4,5-7,21,no
kalpesh,kalpesh@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,whatsapp,students,2024,thrissur,7.3,5,0-2,16,yes
sunny,sunny@xyz.com,1,art of resume building,attending,wilson college ,whatsapp,students,2025,bhopal,9.4,3,0-2,21,yes
sarvesh,sarvesh@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2026,dhar,6.6,4,0-2,8,no
sanjay,sanjay@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,email,students,2023,indore,6.6,5,0-2,7,no
amit,amit@xyz.com,1,art of resume building,attending,"thakur institute of management studies, career development & research - [timscdr]",cloud counselage website,students,2023,guna,8.5,3,0-2,20,no
akash,akash@xyz.com,1,art of resume building,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2025,narwar,8.1,4,0-2,13,no
shraddha ,shraddha@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",email,students,2025,orchha,7.9,7,0-2,24,no
supriya,supriya@xyz.com,1,art of resume building,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,whatsapp,students,2024,sagar,7.1,7,0-2,17,no
pratiksha,pratiksha@xyz.com,1,art of resume building,attending,adhiyamaan college of engineering,whatsapp,students,2026,ujjain,7.7,7,0-2,21,no
supriya,supriya@xyz.com,1,art of resume building,attending,don bosco college of engineering fatorda goa,college,students,2023,vidisha,8.0,7,0-2,8,yes
nisha,nisha@xyz.com,1,art of resume building,attending,pillai college of engineering new panvel,college,students,2024,akola,6.5,7,0-2,9,yes
rehan,rehan@xyz.com,1,art of resume building,attending,st xavier's college ,college,students,2024,aurangabad,9.4,7,0-2,21,no
vinit ,vinit@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",linkedin,students,2025,bhandara,6.8,5,0-2,7,no
pratiksha ,pratiksha@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,instagram|email,students,2023,bid,7.9,7,0-2,21,yes
ninad,ninad@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,whatsapp,students,2023,buldhana,9.3,5,0-2,30,no
satish ,satish@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2024,dhule,6.9,4,0-2,24,no
vignesh,vignesh@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",whatsapp,students,2026,jalgaon,8.9,4,0-2,8,no
dinesh,dinesh@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,students,2024,kalyan,8.3,7,0-2,19,yes
ayushi,ayushi@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2025,thane,7.2,4,0-2,21,no
yash,yash@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,whatsapp,students,2023,navi mumbai,8.1,7,0-2,17,no
ritesh,ritesh@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",whatsapp,students,2024,nagpur,9.6,3,0-2,9,no
leah,leah@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",email,students,2023,nanded,7.5,3,0-2,8,no
simran,simran@xyz.com,1,art of resume building,attending,"priyadarshini college of engineering, nagpur ",cloud counselage website,students,2024,kolhapur,7.9,7,0-2,8,yes
puja,puja@xyz.com,1,art of resume building,attending,st.francis institute of technology,whatsapp,students,2026,karli,9.3,3,0-2,8,yes
krutika,krutika@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,whatsapp,students,2023,matheran,9.6,4,0-2,8,no
kapil,kapil@xyz.com,1,art of resume building,attending,late g. n. sapkal college of engineering,cloud counselage website,students,2025,nashik,9.1,7,0-2,24,no
pallavi ,pallavi@xyz.com,1,art of resume building,attending,"mit academy of engineering ,alandi",whatsapp,students,2025,solapur,7.5,7,0-2,9,yes
himani ,himani@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,whatsapp,students,2024,satara,7.6,7,0-2,17,no
sachi,sachi@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",email,students,2023,sangola,7.2,7,0-2,11,no
yogita,yogita@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2024,vasai,7.1,5,0-2,18,no
bhagyashri,bhagyashri@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,whatsapp,students,2024,shillong,7.1,4,0-2,12,no
shashank,shashank@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2025,puri,9.5,7,0-2,23,no
sonali,sonali@xyz.com,1,art of resume building,attending,d y patil institute of mca and management akurdi pune,whatsapp,students,2023,konark,9.2,5,0-2,8,no
satish,satish@xyz.com,1,art of resume building,attending,ap shah institute of technology ,whatsapp,students,2023,cuttack,7.9,5,0-2,9,yes
supriya,supriya@xyz.com,1,art of resume building,attending,st xavier's college ,linkedin,students,2023,amritsar,7.8,3,0-2,19,no
kajal,kajal@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",whatsapp,students,2025,patiala,9.1,4,0-2,25,yes
aditya,aditya@xyz.com,1,art of resume building,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",whatsapp,students,2025,sangrur,6.9,7,0-2,22,yes
pratik,pratik@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,email,students,2023,ajmer,8.4,4,7-8,6,no
sonal,sonal@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,college,students,2024,amer,6.7,4,0-2,9,no
ashwini,ashwini@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2024,barmer,9.2,7,0-2,20,no
sagar,sagar@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",linkedin|email|cloud counselage website,students,2023,bikaner,7.3,5,0-2,15,yes
himanshu,himanshu@xyz.com,1,art of resume building,attending,st.francis institute of technology,youtube|facebook|instagram|whatsapp|email,students,2023,jhalwar,7.6,7,0-2,13,no
anushka,anushka@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,email,students,2025,jodhpur,9.3,5,0-2,11,no
aaron,aaron@xyz.com,1,art of resume building,attending,"mit academy of engineering ,alandi",email,students,2023,sikar,6.6,3,0-2,10,yes
darsh,darsh@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,email,students,2023,gangtok,7.8,7,2-5,10,no
rajkumar,rajkumar@xyz.com,1,art of resume building,attending,wilson college ,email,students,2026,hyderbad,8.7,4,0-2,15,no
rushikesh ,rushikesh@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",cloud counselage website,students,2025,nizambad,7.2,7,0-2,12,yes
vaishnavi,vaishnavi@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,email,students,2025,agartala,7.1,3,0-2,20,yes
mona ,mona@xyz.com,1,art of resume building,attending,"thakur institute of management studies, career development & research - [timscdr]",whatsapp,students,2024,agra,8.0,7,0-2,21,no
chetan ,chetan@xyz.com,1,art of resume building,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,email,students,2024,aligarh,8.5,7,0-2,9,no
apurva,apurva@xyz.com,1,art of resume building,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2023,gonda,8.5,7,0-2,9,no
aatif,aatif@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",email,students,2023,ghazipur,9.1,3,0-2,8,yes
aditya,aditya@xyz.com,1,art of resume building,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,whatsapp,students,2026,ghaziabad,9.7,4,0-2,7,no
vaibhav,vaibhav@xyz.com,1,art of resume building,attending,silicon institute of technology,email,students,2024,gonda,8.7,7,0-2,21,no
swapnali,swapnali@xyz.com,1,art of resume building,attending,adhiyamaan college of engineering,whatsapp,students,2024,gorakhpur,6.5,3,0-2,5,no
manish,manish@xyz.com,1,art of resume building,attending,don bosco college of engineering fatorda goa,whatsapp,students,2025,hamirpur,8.8,5,0-2,16,no
aatif,aatif@xyz.com,1,art of resume building,attending,pillai college of engineering new panvel,whatsapp,students,2023,deoria,9.3,7,0-2,21,no
sonali,sonali@xyz.com,1,art of resume building,attending,st xavier's college ,whatsapp,students,2023,budaun,7.6,4,0-2,8,yes
sanket,sanket@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,email,students,2024,mathura,9.2,5,0-2,13,yes
pooja,pooja@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",linkedin|whatsapp,students,2023,mainpuri,7.3,7,0-2,24,yes
harshal,harshal@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",email,students,2025,varanasi,7.6,7,0-2,17,no
abhishek ,abhishek@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",email,students,2023,almora,7.1,7,0-2,11,no
vaishnavi,vaishnavi@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,email,students,2025,alipore,8.3,3,0-2,21,no
rushikesh,rushikesh@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,whatsapp,students,2024,haora,9.2,3,0-2,8,yes
priyanka ,priyanka@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",college,students,2023,hugli,9.3,5,0-2,8,no
vishal,vishal@xyz.com,1,art of resume building,attending,st.francis institute of technology,youtube|facebook,students,2023,palashi,7.3,4,0-2,21,no
pratik,pratik@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,whatsapp,students,2024,santipur,7.4,3,0-2,30,yes
pramod,pramod@xyz.com,1,art of resume building,attending,late g. n. sapkal college of engineering,whatsapp,students,2025,siliguri,8.3,4,0-2,24,yes
samiksha,samiksha@xyz.com,1,art of resume building,attending,"symbiosis institute of technology, pune",college,students,2023,silguri,7.4,3,0-2,8,no
rucha,rucha@xyz.com,1,art of resume building,attending,"mit academy of engineering ,alandi",whatsapp,students,2026,siuri,6.7,3,0-2,19,no
darshan ,darshan@xyz.com,1,art of resume building,attending,wilson college ,whatsapp,students,2025,talmuk,9.7,7,0-2,17,yes
ankita,ankita@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",email,students,2024,siuri,7.9,7,0-2,18,no
hemant,hemant@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,whatsapp,students,2023,titagrah,7.2,3,0-2,9,no
ritik ,ritik@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",email,students,2023,orchha,7.1,4,0-2,8,no
snehal,snehal@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2025,sagar,8.7,4,0-2,8,yes
vedant,vedant@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,whatsapp,students,2024,satna,8.7,7,0-2,8,no
philip,philip@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",email,students,2026,vidisha,6.8,5,0-2,6,no
vaibhav,vaibhav@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",email|cloud counselage website,students,2023,akola,7.1,7,0-2,7,no
riya,riya@xyz.com,1,art of resume building,attending,"priyadarshini college of engineering, nagpur ",email,students,2023,aurangabad,8.5,3,0-2,7,no
priyanka,priyanka@xyz.com,1,art of resume building,attending,st.francis institute of technology,email,students,2025,bhandara,9.1,7,0-2,28,yes
vishal,vishal@xyz.com,1,art of resume building,attending,"mit academy of engineering ,alandi",college,students,2023,dhule,8.2,3,0-2,7,yes
payal ,payal@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,email,students,2023,mumbai,7.4,5,0-2,8,yes
akanksha,akanksha@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,email,students,2023,nagpur,7.3,5,0-2,11,no
ajinkya,ajinkya@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,whatsapp,students,2025,amritsar,7.8,3,0-2,7,no
sapana,sapana@xyz.com,1,art of resume building,attending,wilson college ,whatsapp,students,2024,patiala,7.9,7,0-2,9,no
mahesh,mahesh@xyz.com,1,art of resume building,attending,"thakur institute of management studies, career development & research - [timscdr]",email,students,2023,amer,9.5,4,0-2,9,no
vaishnavi,vaishnavi@xyz.com,1,art of resume building,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,whatsapp,students,2025,barmer,9.8,3,0-2,13,no
shruti,shruti@xyz.com,1,art of resume building,attending,adhiyamaan college of engineering,whatsapp,students,2026,jodhpur,7.2,4,0-2,20,no
sunny,sunny@xyz.com,1,art of resume building,attending,don bosco college of engineering fatorda goa,whatsapp,students,2023,kota,9.5,4,0-2,20,yes
kajal ,kajal@xyz.com,1,art of resume building,attending,st xavier's college ,whatsapp,students,2025,sikar,8.4,4,0-2,16,no
sanika,sanika@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",email,students,2023,ahemdabad,9.9,7,0-2,16,no
shruti,shruti@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,email,students,2024,dwarka,6.7,7,0-2,9,no
omkar,omkar@xyz.com,1,art of resume building,attending,wilson college ,email,students,2025,godhra,7.6,3,0-2,7,yes
snehal,snehal@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",email,students,2023,jamnagar,8.3,7,0-2,8,yes
louis,louis@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,facebook,students,2023,junagadh,6.3,4,0-2,6,no
manisha,manisha@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2026,kheda,8.9,4,0-2,8,no
rahul,rahul@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,college,students,2025,morbi,9.5,5,0-2,21,yes
parag,parag@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,cloud counselage website,students,2024,nadiad,8.5,4,0-2,5,yes
ankita,ankita@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",email,students,2024,navsari,8.5,5,0-2,21,no
dhanashri,dhanashri@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",whatsapp|email,students,2023,okha,8.8,4,0-2,23,no
ayushi,ayushi@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,students,2025,rajkot,7.9,4,0-2,9,no
raghav,raghav@xyz.com,1,art of resume building,attending,st.francis institute of technology,whatsapp,students,2025,valsad,8.3,5,0-2,5,no
chetan,chetan@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,whatsapp,students,2024,ambala,6.4,4,0-2,8,no
shruti,shruti@xyz.com,1,art of resume building,attending,late g. n. sapkal college of engineering,whatsapp,students,2026,chandigarh,7.5,7,0-2,19,no
sharvari,sharvari@xyz.com,1,art of resume building,attending,"symbiosis institute of technology, pune",whatsapp,students,2024,faridabad,7.7,4,0-2,18,no
tejas,tejas@xyz.com,1,art of resume building,attending,wilson college ,whatsapp,students,2025,jind,7.9,5,0-2,8,yes
sonal,sonal@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2025,kaithal,7.7,5,0-2,9,no
yash,yash@xyz.com,1,art of resume building,attending,"mit academy of engineering ,alandi",whatsapp,students,2026,agartala,9.2,3,0-2,17,yes
amey,amey@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,whatsapp,students,2024,agra,7.6,5,0-2,13,yes
yash,yash@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,whatsapp,students,2025,ghazipur,6.9,7,0-2,19,no
rutuja,rutuja@xyz.com,1,art of resume building,attending,"thakur institute of management studies, career development & research - [timscdr]",college,students,2024,ghaziabad,9.2,3,0-2,18,yes
yash,yash@xyz.com,1,art of resume building,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,whatsapp,students,2025,gonda,6.9,7,0-2,12,no
monika,monika@xyz.com,1,art of resume building,attending,silicon institute of technology,youtube,students,2024,budaun,7.5,5,0-2,7,no
yogesh ,yogesh@xyz.com,1,art of resume building,attending,adhiyamaan college of engineering,whatsapp,students,2023,jhansi,6.9,4,0-2,13,yes
gouri,gouri@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",cloud counselage website,students,2023,mainpuri,6.7,5,0-2,6,yes
samiksha,samiksha@xyz.com,1,art of resume building,attending,wilson college ,whatsapp,students,2026,alipore,9.0,4,0-2,15,no
siddhesh,siddhesh@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2024,haora,7.2,7,0-2,17,no
pallavi,pallavi@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",cloud counselage website,students,2025,hugli,6.5,5,0-2,13,no
somnath,somnath@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,linkedin|email,students,2023,kolkata,6.6,5,0-2,11,no
sayali,sayali@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,college,students,2024,malda,9.5,4,0-2,12,no
chetan,chetan@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",email,students,2023,palashi,8.1,4,0-2,10,no
